dataset,model,n_train,n_test,rmse,nlpd,cov68,cov95,train_seconds,inducing_m,iters,batch_size,lr,seed,nu,hetero,arch,lik
concrete,svgp,824,206,7.264719765150974,4.364967483266128,0.38349514563106796,0.6310679611650486,8.688868500001263,128,3000,256,0.01,42,,homo,kernel,Gaussian
concrete,svgp_t,824,206,12.697300694029693,3.9586878993339263,0.6893203883495146,0.941747572815534,8.443726099998457,128,3000,256,0.01,42,4.0,homo,kernel,StudentT
concrete,gpz_gaussian,824,206,6.196635388682634,3.1775124165903414,0.7038834951456311,0.8786407766990292,6.84885189999477,128,3000,256,0.01,42,,hetero,basis,Gaussian
concrete,gpz_t_fixed,824,206,7.3662497865641,3.3064534909258994,0.7864077669902912,0.9368932038834952,10.095781199997873,128,3000,256,0.01,42,4.0,hetero,basis,StudentT
concrete,gpz_t_homo,824,206,5.71899598758999,3.122901450171042,0.7669902912621359,0.9514563106796117,9.833423000003677,128,3000,256,0.01,42,4.0,homo,basis,StudentT
concrete,gpz_t_learnnu,824,206,6.096426940581868,5.376853990132752,1.0,1.0,10.436214299996209,128,3000,256,0.01,42,2.0043218413856785,hetero,basis,StudentT
hour,svgp,13903,3476,0.8351203303585448,1.2554544220021473,0.762945914844649,0.9605868814729575,7.013096199996653,128,3000,256,0.01,42,,homo,kernel,Gaussian
hour,svgp_t,13903,3476,0.9720757163294801,1.430137166269816,0.799482163406214,0.9789988492520139,8.381286399999226,128,3000,256,0.01,42,4.0,homo,kernel,StudentT
hour,gpz_gaussian,13903,3476,0.32130455567845323,0.2800782590060716,0.7822209436133487,0.9341196777905638,9.399198300001444,128,3000,256,0.01,42,,hetero,basis,Gaussian
hour,gpz_t_fixed,13903,3476,0.32298826507459405,0.3773276761042145,0.8722669735327964,0.974108170310702,11.431518500001403,128,3000,256,0.01,42,4.0,hetero,basis,StudentT
hour,gpz_t_homo,13903,3476,0.32453217968036946,0.37903252644362767,0.8676639815880323,0.9749712313003452,11.410868700004357,128,3000,256,0.01,42,4.0,homo,basis,StudentT
hour,gpz_t_learnnu,13903,3476,0.3247345659979648,2.8005452888567426,1.0,1.0,11.820912799994403,128,3000,256,0.01,42,2.00473985988503,hetero,basis,StudentT
nyc,svgp,400000,100000,0.7615756161359967,1.1356365732263025,0.76279,0.97096,7.15004449999833,128,3000,256,0.01,42,,homo,kernel,Gaussian
nyc,svgp_t,400000,100000,0.7590868054098102,1.3012146902112132,0.92397,0.99228,8.6246186999997,128,3000,256,0.01,42,2.5,homo,kernel,StudentT
nyc,gpz_gaussian,400000,100000,0.5151848183656755,1.1862797138185452,0.59368,0.85637,23.085046900007,128,3000,256,0.01,42,,hetero,basis,Gaussian
nyc,gpz_t_fixed,400000,100000,0.506487388706307,0.7449225929515102,0.74814,0.94339,31.045165099996666,128,3000,256,0.01,42,2.5,hetero,basis,StudentT
nyc,gpz_t_homo,400000,100000,0.5064989938025138,0.8094350703744602,0.71909,0.92822,27.86387040000409,128,3000,256,0.01,42,2.5,homo,basis,StudentT
nyc,gpz_t_learnnu,400000,100000,0.5063173813155314,2.558110117240951,0.99959,1.0,24.970910700001696,128,3000,256,0.01,42,2.002672632407152,hetero,basis,StudentT
